embedding_1,embedding_2,type
-9.972489917598436,-7.588502060828171,tSNE
-8.128582436557446,-7.558013245717749,tSNE
-11.437083277260836,-9.024413841148263,tSNE
-7.736489236247445,-7.34958132974384,tSNE
-14.419766095853648,-7.120922212721208,tSNE
-13.631491956555797,-3.102468757221666,tSNE
-8.025349367980022,-6.723519765987009,tSNE
-14.071148110597353,-5.584785460837013,tSNE
-7.869976963531376,-3.1724320095542065,tSNE
-10.068927226901756,-11.404675349627738,tSNE
-14.286580517146687,-6.735198412061722,tSNE
-8.114798896805615,-8.306271834387676,tSNE
-7.239680411040998,-4.24339584097463,tSNE
-13.701067347450907,-7.4812050736818465,tSNE
-11.154421692114255,-4.773266458412036,tSNE
-11.711014281003585,-10.141626336473335,tSNE
-11.896510548322974,-11.45281012567861,tSNE
-10.682053442402644,-9.932579353945384,tSNE
-8.361947031714394,-7.873502171834349,tSNE
-11.086178220978603,-11.870149611812753,tSNE
-11.773881706825417,-10.76062954129361,tSNE
-13.133672781360255,-4.260585897041386,tSNE
-9.406914391271178,-11.663178430869912,tSNE
-9.854533292205534,-12.729353401871798,tSNE
-7.205527228160974,-4.5413281461037895,tSNE
-12.029023992320704,-10.0976080559662,tSNE
-10.985337161771941,-3.010750345756807,tSNE
-12.631458353302047,-3.1351517488739025,tSNE
-10.59176567596779,-2.6746652478702386,tSNE
-8.05541645278316,-4.601967031266473,tSNE
-10.517568636033266,-6.583038254669309,tSNE
-11.576603790841421,-12.616172091180431,tSNE
-9.451275000015062,-10.189531508416497,tSNE
-12.054319555133958,-8.307867363795413,tSNE
-14.237184499744428,-5.376652827072111,tSNE
-6.384352317671989,-6.8062522288097655,tSNE
-9.55208364300754,-6.408088276986926,tSNE
-14.425491764157213,-6.246203832316476,tSNE
-13.296842828542268,-4.567312121684698,tSNE
-8.358325540963266,-4.254161231799495,tSNE
-7.587991564212675,-2.8753021030957484,tSNE
-7.277479468554541,-4.671302204585787,tSNE
-11.740118337058568,-7.795105332682352,tSNE
-5.481162706607027,-6.864473806291902,tSNE
-12.633411907674754,-11.417042912122637,tSNE
-10.294357567484544,-5.926805276535268,tSNE
-7.050679513114573,-7.259408679576192,tSNE
-9.95690702968489,-9.169237610750391,tSNE
-13.574430009414995,-10.472440561249929,tSNE
-10.975054114379727,-10.966845416304274,tSNE
-12.779218764476985,-3.3747629462667996,tSNE
-11.74865887212896,-2.9289835426633477,tSNE
-12.514668203298806,-7.272934632874617,tSNE
-5.840130127977917,-7.775739603441467,tSNE
-13.816389316837864,-7.626512048530392,tSNE
-9.290642928267053,-2.755486648633933,tSNE
-9.33055997600385,-3.26992570698293,tSNE
-8.989863070902254,-11.665011124042561,tSNE
-9.71065185297708,-7.089873391303479,tSNE
-7.499004933385504,-6.6445114052274965,tSNE
-14.446066406919842,-10.807094610036508,tSNE
-8.757201269415177,-8.936085699042343,tSNE
-11.538341294948935,-3.670772125021053,tSNE
-8.88265597467433,-5.801001131732421,tSNE
-11.34264573932321,-3.651277187357934,tSNE
-10.280411475391281,-10.838401035650435,tSNE
-11.311141654582162,-5.617990231118183,tSNE
-10.826005371586888,-12.454831649952386,tSNE
-13.427647039483816,-8.000307203249566,tSNE
-10.232104844869674,-10.856008932120297,tSNE
-11.434733628127077,-5.067314182792398,tSNE
-8.722581389542427,-3.40972369995894,tSNE
-8.890272743884534,-6.248350033404403,tSNE
-9.724121279698494,-7.375566081326416,tSNE
-6.401877812641282,-7.63659479028294,tSNE
-15.359034489089941,-6.168395327029215,tSNE
-13.696045572461905,-5.791503757852485,tSNE
-13.557961087639784,-5.092474615509316,tSNE
-11.828569644450331,-12.805838125804616,tSNE
-7.5966539146807275,-6.1295075866236655,tSNE
-10.99894349363916,-10.81637988768281,tSNE
-13.055598779075273,-10.880299133326972,tSNE
-11.806552181500718,-9.03387691393777,tSNE
-11.402986109963736,-12.74759620704055,tSNE
-11.900498420595062,-4.76064699694274,tSNE
-13.458123319679117,-8.300813467218047,tSNE
-13.469010815331144,-7.0232255482527695,tSNE
-15.271205602985434,-6.666111505487275,tSNE
-12.541194464465264,-8.913383760160084,tSNE
-12.666284675346281,-6.057492791447475,tSNE
-8.119090253523153,-2.9615381400843304,tSNE
-12.968951954615576,-10.504713539838898,tSNE
-12.651702010930599,-7.4104804720170065,tSNE
-6.875941689948897,-5.936510781188873,tSNE
-15.074197344825278,-7.768310439217803,tSNE
-11.941039651272577,-7.2542928478139315,tSNE
-9.735395449391905,-7.317686244253522,tSNE
-7.100425601856006,-5.427961230006945,tSNE
-11.468195927172246,-5.957773682524541,tSNE
-6.100254770081764,-8.253324393705896,tSNE
9.571774507163727,12.554527942959012,tSNE
9.722202213979347,11.74066714446192,tSNE
13.295173572059978,9.045934611039513,tSNE
15.183862893909989,5.553773864443954,tSNE
9.628832230605896,9.738583165424851,tSNE
7.570994922303808,8.364034893123035,tSNE
8.116909933516265,11.007161085974955,tSNE
8.976286920513271,4.405118449630831,tSNE
9.110969469888587,4.076200330309067,tSNE
8.064154768283883,9.398830911178626,tSNE
6.866565244690655,7.712299882700726,tSNE
8.636560172598754,4.9295498323068205,tSNE
10.3273329628387,7.16845419845793,tSNE
15.273419343759995,8.76226096596414,tSNE
9.077821312438832,11.912065535049305,tSNE
15.452153615971495,8.332242294049681,tSNE
13.932775812991949,2.531514964608266,tSNE
9.68668277130132,6.683997713148135,tSNE
9.738606014740984,8.506317691045972,tSNE
12.450275238522181,3.9098963432528677,tSNE
12.937838769344262,6.053781596816432,tSNE
11.716408948057133,2.621550721221856,tSNE
12.665966253649264,2.6163846031926994,tSNE
